All_Cases_1to2wk	EQBO_1to2wk	WQBO_1to2wk	EQBO_with_ws<13m/s_1to2wk	WQBO_and_EQBO_with_WS>13m/s_1to2wk	EQBO_with_ws<10m/s_1to2wk	WQBO_and_EQBO_with_WS>10m/s_1to2wk	EQBO_with_ws<7m/s_1to2wk	WQBO_and_EQBO_with_WS>7m/s_1to2wk	ZMZW_at_60N_10hPa<3.8m/s_1to2wk	ZMZW_at_60N_10hPa>3.8m/s_1to2wk	SWIneg_1to2wk	SWIplain_1to2wk	All_Cases_3to4wk	EQBO_3to4wk	WQBO_3to4wk	EQBO_with_ws<13m/s_3to4wk	WQBO_and_EQBO_with_WS>13m/s_3to4wk	EQBO_with_ws<10m/s_3to4wk	WQBO_and_EQBO_with_WS>10m/s_3to4wk	EQBO_with_ws<7m/s_3to4wk	WQBO_and_EQBO_with_WS>7m/s_3to4wk	ZMZW_at_60N_10hPa<3.8m/s_3to4wk	ZMZW_at_60N_10hPa>3.8m/s_3to4wk	SWIneg_3to4wk	SWIplain_3to4wk	All_Cases_5to6wk	EQBO_5to6wk	WQBO_5to6wk	EQBO_with_ws<13m/s_5to6wk	WQBO_and_EQBO_with_WS>13m/s_5to6wk	EQBO_with_ws<10m/s_5to6wk	WQBO_and_EQBO_with_WS>10m/s_5to6wk	EQBO_with_ws<7m/s_5to6wk	WQBO_and_EQBO_with_WS>7m/s_5to6wk	ZMZW_at_60N_10hPa<3.8m/s_5to6wk	ZMZW_at_60N_10hPa>3.8m/s_5to6wk	SWIneg_5to6wk	SWIplain_5to6wk
-1.415	-3.114	-1.5	-1.016	-3.346	NA	-2.213	NA	-0.872	NA	-1.138	NA	-3.063	-0.892	-1.631	-3.819	0.676	-4.123	NA	-2.498	NA	-1.504	NA	-1.2	NA	-0.381	-2.597	-1.792	-1.939	0.991	-0.468	NA	-3.356	NA	-2.288	NA	0.097	NA	-0.88
-2.597	-1.792	-1.487	0.991	0.325	NA	-3.356	NA	-0.553	NA	0.097	NA	0.03	0.924	-4.635	-0.968	-0.018	0.433	NA	-2.065	NA	-0.738	NA	-0.427	NA	-0.048	-0.873	-4.688	0.492	0.123	-1.733	NA	-3.377	NA	-1.607	NA	0.114	NA	0.443
-1.138	-3.079	1.182	0.123	-1.141	NA	-3.063	NA	-1.607	NA	-0.362	NA	-1.434	-1.2	-0.887	0.819	-3.451	0.135	NA	-0.381	NA	-1.649	NA	-1.827	NA	-2.185	0.097	-2.12	2.42	-2.906	-2.277	NA	-0.88	NA	-3.073	NA	-0.029	NA	-2.723
0.097	-1.782	2.605	-2.465	-1.529	NA	0.03	NA	-3.073	NA	-0.178	NA	-2.603	-0.427	-4.854	-0.432	0.336	-0.131	NA	-0.048	NA	-1.804	NA	0.488	NA	-1.534	0.114	-3.43	-2.184	0.076	-3.856	NA	0.443	NA	-1.451	NA	2.01	NA	-4.269
-0.362	0.525	-2.184	-2.611	-1.056	NA	-1.434	NA	-1.451	NA	2.01	NA	-4.269	-1.827	-0.691	-2.1	-1.965	-1.466	NA	-2.185	NA	-3.503	NA	1.023	NA	-3.15	-0.029	-1.64	0.009	-1.191	-0.272	NA	-2.723	NA	0.321	NA	-0.872	NA	-2.726
-0.178	-2.654	-0.936	-1.009	-1.87	NA	-2.603	NA	-2.117	NA	-0.872	NA	-2.479	0.488	-1.99	-1.521	-1.28	-1.646	NA	-1.534	NA	2.523	NA	-1.504	NA	-0.393	2.01	-2.757	-2.305	-0.257	0.302	NA	-4.269	NA	-0.288	NA	-2.288	NA	-1.854
2.01	-2.245	-2.109	NA	0.573	NA	-4.269	NA	-0.288	NA	-0.553	NA	-3.346	1.023	-3.575	-0.857	NA	-1.091	NA	-3.15	NA	-0.795	NA	-0.738	NA	-4.123	-0.872	-0.76	-2.099	NA	2.185	NA	-2.726	NA	-1.016	NA	-1.607	NA	-0.468
-0.872	-0.576	-2.099	NA	1.339	NA	-2.479	NA	-1.016	NA	-1.607	NA	0.325	-1.504	-0.707	0.092	NA	-2.118	NA	-0.393	NA	-1.443	NA	-1.649	NA	0.433	-2.288	-0.516	-3.178	NA	-0.933	NA	-1.854	NA	-0.557	NA	-3.073	NA	-1.733
-0.553	-1.315	-3.178	NA	0.525	NA	-3.346	NA	0.569	NA	-3.073	NA	-1.141	-0.738	-0.382	-1.493	NA	-0.691	NA	-4.123	NA	0.268	NA	-1.804	NA	0.135	-1.607	-0.095	-0.694	NA	-1.64	NA	-0.468	NA	-3.17	NA	-1.451	NA	-2.277
-1.607	-0.095	-1.041	NA	-1.64	NA	0.325	NA	-1.505	NA	-1.451	NA	-1.529	-1.649	-1.225	-4.058	NA	-3.293	NA	0.433	NA	-1.953	NA	-3.503	NA	-0.131	-3.073	-1.327	-2.306	NA	-3.035	NA	-1.733	NA	-2.654	NA	0.321	NA	-3.856
